Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
360,Jaskaran Singh,8,5,4,8,4,8,11,72.72,0,0,0,0
361,Tanmay Srivastava,7,3,2,8,7,8,11,72.72,0,0,0,0
362,Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0
363,Udit Birla,2,1,0,7,7,7,14,50,0,0,1,0
364,Vikramjeet Malik,13,2,1,7,6,7,7,100,0,0,1,0
365,Pankaj Singh,17,5,3,7,4,3.5,12,58.33,0,0,0,0
366,Shardul Thakur,1,1,1,7,7,0,6,116.66,0,0,1,0
367,I Malhotra,1,1,1,7,7,0,4,175,0,0,1,0
368,Bhargav Bhatt,17,2,1,6,6,6,7,85.71,0,0,0,1
369,Peter Handscomb,2,1,0,6,6,6,12,50,0,0,0,0
370,Jayant Yadav,8,2,0,6,5,3,10,60,0,0,0,0
371,SB Joshi,4,2,0,6,3,3,14,42.85,0,0,0,0
372,SS Shaikh,2,1,0,6,6,6,7,85.71,0,0,1,0
373,Shalabh Srivastava,14,4,3,5,3,5,5,100,0,0,0,0
374,Shivam Sharma,5,2,1,5,4,5,3,166.66,0,0,1,0
375,Parvinder Awana,33,7,5,5,4,2.5,14,35.71,0,0,0,0
376,Nuwan Kulasekara,6,1,1,5,5,0,3,166.66,0,0,1,0
377,Ben Laughlin,2,2,1,4,4,4,9,44.44,0,0,0,0
378,VRV Singh,19,2,0,4,4,2,3,133.33,0,0,1,0
379,Amit Uniyal,2,2,1,4,4,4,7,57.14,0,0,0,0
380,Dirk Nannes,29,3,2,4,3,4,13,30.76,0,0,0,0
381,Ajit Chandila,12,2,2,4,4,0,7,57.14,0,0,0,0
382,RS Sodhi,3,1,1,4,4,0,2,200,0,0,1,0
383,Dilhara Fernando,10,2,2,4,2,0,3,133.33,0,0,0,0
384,Glenn McGrath,14,3,2,4,4,4,5,80,0,0,1,0
385,Barinder Sran,15,4,4,4,2,0,4,100,0,0,0,0
386,Jaydev Unadkat,35,4,3,3,1,3,8,37.5,0,0,0,0
387,Kamran Khan,9,2,1,3,3,3,5,60,0,0,0,0
388,Younis Khan,1,1,0,3,3,3,7,42.85,0,0,0,0
389,Chris Jordan,9,1,0,3,3,3,4,75,0,0,0,0
390,Ajantha Mendis,10,3,1,3,2,1.5,6,50,0,0,0,0
391,D Kalyankrishna,3,1,0,3,3,3,8,37.5,0,0,0,0
392,Mohammad Asif,8,2,0,3,3,1.5,6,50,0,0,0,0
393,Ryan Ninan,2,1,0,3,3,3,6,50,0,0,0,0
394,Sudeep Tyagi,14,3,2,3,3,3,4,75,0,0,0,0
395,Suraj Randiv,8,1,0,2,2,2,4,50,0,0,0,0
396,Mashrafe Mortaza,1,1,1,2,2,0,2,100,0,0,0,0
397,H Das,1,1,0,2,2,2,5,40,0,0,0,0
398,RS Gavaskar,2,1,0,2,2,2,8,25,0,0,0,0
399,Yuzvendra Chahal,43,4,4,2,1,0,2,100,0,0,0,0
400,Shoaib Akhtar,3,1,0,2,2,2,7,28.57,0,0,0,0
401,Amit Singh,23,5,1,2,1,0.5,10,20,0,0,0,0
402,KP Appanna,14,3,2,2,1,2,4,50,0,0,0,0
403,Mohammad Ashraful,1,1,0,2,2,2,10,20,0,0,0,0
404,Ronit More,2,1,1,2,2,0,2,100,0,0,0,0
405,VS Yeligati,2,1,0,2,2,2,2,100,0,0,0,0
406,Shrikant Wagh,8,2,0,2,2,1,3,66.66,0,0,0,0
407,Ankit Rajpoot,6,1,1,2,2,0,6,33.33,0,0,0,0
408,Nathan Rimmington,1,1,1,1,1,0,1,100,0,0,0,0
409,PM Sarvesh Kumar,2,1,1,1,1,0,2,50,0,0,0,0
410,Domnic Joseph,6,2,1,1,1,1,3,33.33,0,0,0,0
411,DP Vijaykumar,9,2,2,1,1,0,1,100,0,0,0,0
412,Beuran Hendricks,7,3,2,1,1,1,3,33.33,0,0,0,0
413,P Parameswaran,5,1,1,1,1,0,1,100,0,0,0,0
414,Marchant de Lange,5,1,0,1,1,1,2,50,0,0,0,0
415,Shane Bond,8,1,0,1,1,1,2,50,0,0,0,0
416,Gurinder Sandhu,3,0,0,0,0,0,0,0,0,0,0,0
417,Tanmay Mishra,1,0,0,0,0,0,0,0,0,0,0,0
418,C Nanda,3,1,0,0,0,0,1,0,0,0,0,0
419,Scott Boland,2,0,0,0,0,0,0,0,0,0,0,0
420,Gajendra Singh,4,0,0,0,0,0,0,0,0,0,0,0
421,C Ganapathy,1,1,1,0,0,0,0,0,0,0,0,0
422,Mustafizur Rahman,16,0,0,0,0,0,0,0,0,0,0,0
423,Michael Neser,1,0,0,0,0,0,0,0,0,0,0,0
424,Murugan Ashwin,10,1,0,0,0,0,1,0,0,0,0,0
425,Samuel Badree,5,0,0,0,0,0,0,0,0,0,0,0
426,Shivil Kaushik,7,2,1,0,0,0,1,0,0,0,0,0
427,Veer Pratap Singh,9,1,0,0,0,0,1,0,0,0,0,0
428,U Kaul,5,1,1,0,0,0,1,0,0,0,0,0
429,SS Mundhe,1,0,0,0,0,0,0,0,0,0,0,0
430,Harmeet Singh,1,0,0,0,0,0,0,0,0,0,0,0
431,Sunny Gupta,1,1,0,0,0,0,1,0,0,0,0,0
432,Swapnil Singh,1,1,0,0,0,0,1,0,0,0,0,0
433,Ben Hilfenhaus,17,1,1,0,0,0,0,0,0,0,0,0
434,Raju Bhatkal,1,1,0,0,0,0,2,0,0,0,0,0
435,Tabraiz Shamsi,4,0,0,0,0,0,0,0,0,0,0,0
436,Love Ablish,3,1,1,0,0,0,2,0,0,0,0,0
437,Trent Boult,8,0,0,0,0,0,0,0,0,0,0,0
438,Adam Milne,1,0,0,0,0,0,0,0,0,0,0,0
439,RV Pawar,1,0,0,0,0,0,0,0,0,0,0,0
440,P Amarnath,6,0,0,0,0,0,0,0,0,0,0,0
441,Aavishkar Salvi,7,0,0,0,0,0,0,0,0,0,0,0
442,RR Bose,1,0,0,0,0,0,0,0,0,0,0,0
443,YA Abdulla,11,1,1,0,0,0,1,0,0,0,0,0
444,Kedar Devdhar,1,0,0,0,0,0,0,0,0,0,0,0
445,Abrar Kazi,1,0,0,0,0,0,0,0,0,0,0,0
446,Krishmar Santokie,2,0,0,0,0,0,0,0,0,0,0,0
447,Deepak Chahar,2,0,0,0,0,0,0,0,0,0,0,0
448,Pat Cummins,4,1,0,0,0,0,2,0,0,0,0,0
449,Ishwar Pandey,25,1,0,0,0,0,2,0,0,0,0,0
450,Anand Rajan,8,0,0,0,0,0,0,0,0,0,0,0
451,TP Sudhindra,3,1,1,0,0,0,0,0,0,0,0,0
452,P Prasanth,1,0,0,0,0,0,0,0,0,0,0,0
453,Kuldeep Yadav,3,0,0,0,0,0,0,0,0,0,0,0
454,Nayan Doshi,4,1,0,0,0,0,13,0,0,0,0,0
455,RA Shaikh,1,0,0,0,0,0,0,0,0,0,0,0
456,Vijay Shankar,1,0,0,0,0,0,0,0,0,0,0,0
457,Andre Nel,1,1,0,0,0,0,0,0,0,0,0,0
458,Brett Geeves,2,0,0,0,0,0,0,0,0,0,0,0
459,Abdur Razzak,1,1,1,0,0,0,2,0,0,0,0,0
460,John Hastings,3,0,0,0,0,0,0,0,0,0,0,0
461,Adam Zampa,5,1,0,0,0,0,1,0,0,0,0,0
462,Sarabjit Ladda,9,2,1,0,0,0,9,0,0,0,0,0
463,P Dharmani,1,0,0,0,0,0,0,0,0,0,0,0
464,Pawan Suyal,5,0,0,0,0,0,0,0,0,0,0,0
